"code","description"
A171           ,Meningeal tuberculoma
A1781          ,Tuberculoma of brain and spinal cord
A1782          ,Tuberculous meningoencephalitis
A1783          ,Tuberculous neuritis
A1789          ,Other tuberculosis of nervous system
A179           ,"Tuberculosis of nervous system, unspecified"
A1801          ,Tuberculosis of spine
A1802          ,Tuberculous arthritis of other joints
A1803          ,Tuberculosis of other bones
A1809          ,Other musculoskeletal tuberculosis
A1810          ,"Tuberculosis of genitourinary system, unspecified"
A1811          ,Tuberculosis of kidney and ureter
A1812          ,Tuberculosis of bladder
A1813          ,Tuberculosis of other urinary organs
A1814          ,Tuberculosis of prostate
A1815          ,Tuberculosis of other male genital organs
A1816          ,Tuberculosis of cervix
A1817          ,Tuberculous female pelvic inflammatory disease
A1818          ,Tuberculosis of other female genital organs
A182           ,Tuberculous peripheral lymphadenopathy
A1831          ,Tuberculous peritonitis
A1832          ,Tuberculous enteritis
A1839          ,Retroperitoneal tuberculosis
A184           ,Tuberculosis of skin and subcutaneous tissue
A1850          ,"Tuberculosis of eye, unspecified"
A1851          ,Tuberculous episcleritis
A1852          ,Tuberculous keratitis
A1853          ,Tuberculous chorioretinitis
A1854          ,Tuberculous iridocyclitis
A1859          ,Other tuberculosis of eye
A186           ,Tuberculosis of (inner) (middle) ear
A187           ,Tuberculosis of adrenal glands
A1881          ,Tuberculosis of thyroid gland
A1882          ,Tuberculosis of other endocrine glands
A1883          ,"Tuberculosis of digestive tract organs, not elsewhere classified"
A1884          ,Tuberculosis of heart
A1885          ,Tuberculosis of spleen
A1889          ,Tuberculosis of other sites
A190           ,Acute miliary tuberculosis of a single specified site
A191           ,Acute miliary tuberculosis of multiple sites
A192           ,"Acute miliary tuberculosis, unspecified"
A198           ,Other miliary tuberculosis
A199           ,"Miliary tuberculosis, unspecified"
A200           ,Bubonic plague
A201           ,Cellulocutaneous plague
A202           ,Pneumonic plague
A203           ,Plague meningitis
A207           ,Septicemic plague
A208           ,Other forms of plague
A209           ,"Plague, unspecified"
A210           ,Ulceroglandular tularemia
A211           ,Oculoglandular tularemia
A212           ,Pulmonary tularemia
A213           ,Gastrointestinal tularemia
A217           ,Generalized tularemia
A218           ,Other forms of tularemia
A219           ,"Tularemia, unspecified"
A220           ,Cutaneous anthrax
A221           ,Pulmonary anthrax
A222           ,Gastrointestinal anthrax
A227           ,Anthrax sepsis
A228           ,Other forms of anthrax
A229           ,"Anthrax, unspecified"
A230           ,Brucellosis due to Brucella melitensis
A231           ,Brucellosis due to Brucella abortus
A232           ,Brucellosis due to Brucella suis
A233           ,Brucellosis due to Brucella canis
A238           ,Other brucellosis
A239           ,"Brucellosis, unspecified"
A240           ,Glanders
A241           ,Acute and fulminating melioidosis
A242           ,Subacute and chronic melioidosis
A243           ,Other melioidosis
A249           ,"Melioidosis, unspecified"
A250           ,Spirillosis
A251           ,Streptobacillosis
A259           ,"Rat-bite fever, unspecified"
A260           ,Cutaneous erysipeloid
A267           ,Erysipelothrix sepsis
A268           ,Other forms of erysipeloid
A269           ,"Erysipeloid, unspecified"
A270           ,Leptospirosis icterohemorrhagica
A2781          ,Aseptic meningitis in leptospirosis
A2789          ,Other forms of leptospirosis
A279           ,"Leptospirosis, unspecified"
A280           ,Pasteurellosis
A281           ,Cat-scratch disease
A282           ,Extraintestinal yersiniosis
A288           ,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A289           ,"Zoonotic bacterial disease, unspecified"
A300           ,Indeterminate leprosy
A301           ,Tuberculoid leprosy
A302           ,Borderline tuberculoid leprosy
A303           ,Borderline leprosy
A304           ,Borderline lepromatous leprosy
A305           ,Lepromatous leprosy
A308           ,Other forms of leprosy
A309           ,"Leprosy, unspecified"
A310           ,Pulmonary mycobacterial infection
A311           ,Cutaneous mycobacterial infection
A312           ,Disseminated mycobacterium avium-intracellulare complex (DMAC)
A318           ,Other mycobacterial infections
A319           ,"Mycobacterial infection, unspecified"
A320           ,Cutaneous listeriosis
A3211          ,Listerial meningitis
A3212          ,Listerial meningoencephalitis
A327           ,Listerial sepsis
A3281          ,Oculoglandular listeriosis
A3282          ,Listerial endocarditis
A3289          ,Other forms of listeriosis
A329           ,"Listeriosis, unspecified"
A33            ,Tetanus neonatorum
A34            ,Obstetrical tetanus
A35            ,Other tetanus
A360           ,Pharyngeal diphtheria
A361           ,Nasopharyngeal diphtheria
A362           ,Laryngeal diphtheria
A363           ,Cutaneous diphtheria
A3681          ,Diphtheritic cardiomyopathy
A3682          ,Diphtheritic radiculomyelitis
A3683          ,Diphtheritic polyneuritis
A3684          ,Diphtheritic tubulo-interstitial nephropathy
A3685          ,Diphtheritic cystitis
A3686          ,Diphtheritic conjunctivitis
A3689          ,Other diphtheritic complications
A369           ,"Diphtheria, unspecified"
A3700          ,Whooping cough due to Bordetella pertussis without pneumonia
A3701          ,Whooping cough due to Bordetella pertussis with pneumonia
A3710          ,Whooping cough due to Bordetella parapertussis without pneumonia
A3711          ,Whooping cough due to Bordetella parapertussis with pneumonia
A3780          ,Whooping cough due to other Bordetella species without pneumonia
A3781          ,Whooping cough due to other Bordetella species with pneumonia
A3790          ,"Whooping cough, unspecified species without pneumonia"
A3791          ,"Whooping cough, unspecified species with pneumonia"
A380           ,Scarlet fever with otitis media
A381           ,Scarlet fever with myocarditis
A388           ,Scarlet fever with other complications
A389           ,"Scarlet fever, uncomplicated"
A390           ,Meningococcal meningitis
A391           ,Waterhouse-Friderichsen syndrome
A392           ,Acute meningococcemia
A393           ,Chronic meningococcemia
A394           ,"Meningococcemia, unspecified"
A3950          ,"Meningococcal carditis, unspecified"
A3951          ,Meningococcal endocarditis
A3952          ,Meningococcal myocarditis
A3953          ,Meningococcal pericarditis
A3981          ,Meningococcal encephalitis
A3982          ,Meningococcal retrobulbar neuritis
A3983          ,Meningococcal arthritis
A3984          ,Postmeningococcal arthritis
A3989          ,Other meningococcal infections
A399           ,"Meningococcal infection, unspecified"
A400           ,"Sepsis due to streptococcus, group A"
A401           ,"Sepsis due to streptococcus, group B"
A403           ,Sepsis due to Streptococcus pneumoniae
A408           ,Other streptococcal sepsis
A409           ,"Streptococcal sepsis, unspecified"
A4101          ,Sepsis due to Methicillin susceptible Staphylococcus aureus
A4102          ,Sepsis due to Methicillin resistant Staphylococcus aureus
A411           ,Sepsis due to other specified staphylococcus
A412           ,Sepsis due to unspecified staphylococcus
A413           ,Sepsis due to Hemophilus influenzae
A414           ,Sepsis due to anaerobes
A4150          ,"Gram-negative sepsis, unspecified"
A4151          ,Sepsis due to Escherichia coli [E. coli]
A4152          ,Sepsis due to Pseudomonas
A4153          ,Sepsis due to Serratia
A4159          ,Other Gram-negative sepsis
A4181          ,Sepsis due to Enterococcus
A4189          ,Other specified sepsis
A419           ,"Sepsis, unspecified organism"
A420           ,Pulmonary actinomycosis
A421           ,Abdominal actinomycosis
A422           ,Cervicofacial actinomycosis
A427           ,Actinomycotic sepsis
A4281          ,Actinomycotic meningitis
A4282          ,Actinomycotic encephalitis
A4289          ,Other forms of actinomycosis
A429           ,"Actinomycosis, unspecified"
A430           ,Pulmonary nocardiosis
A431           ,Cutaneous nocardiosis
A438           ,Other forms of nocardiosis
A439           ,"Nocardiosis, unspecified"
A440           ,Systemic bartonellosis
A441           ,Cutaneous and mucocutaneous bartonellosis
A448           ,Other forms of bartonellosis
A449           ,"Bartonellosis, unspecified"
A46            ,Erysipelas
A480           ,Gas gangrene
A481           ,Legionnaires' disease
A482           ,Nonpneumonic Legionnaires' disease [Pontiac fever]
A483           ,Toxic shock syndrome
A484           ,Brazilian purpuric fever
A4851          ,Infant botulism
A4852          ,Wound botulism
A488           ,Other specified bacterial diseases
A4901          ,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A4902          ,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A491           ,"Streptococcal infection, unspecified site"
A492           ,"Hemophilus influenzae infection, unspecified site"
A493           ,"Mycoplasma infection, unspecified site"
A498           ,Other bacterial infections of unspecified site
A499           ,"Bacterial infection, unspecified"
A5001          ,Early congenital syphilitic oculopathy
A5002          ,Early congenital syphilitic osteochondropathy
A5003          ,Early congenital syphilitic pharyngitis
A5004          ,Early congenital syphilitic pneumonia
A5005          ,Early congenital syphilitic rhinitis
A5006          ,Early cutaneous congenital syphilis
A5007          ,Early mucocutaneous congenital syphilis
A5008          ,Early visceral congenital syphilis
A5009          ,"Other early congenital syphilis, symptomatic"
A501           ,"Early congenital syphilis, latent"
A502           ,"Early congenital syphilis, unspecified"
A5030          ,"Late congenital syphilitic oculopathy, unspecified"
A5031          ,Late congenital syphilitic interstitial keratitis
A5032          ,Late congenital syphilitic chorioretinitis
A5039          ,Other late congenital syphilitic oculopathy
A5040          ,"Late congenital neurosyphilis, unspecified"
A5041          ,Late congenital syphilitic meningitis
A5042          ,Late congenital syphilitic encephalitis
A5043          ,Late congenital syphilitic polyneuropathy
A5044          ,Late congenital syphilitic optic nerve atrophy
A5045          ,Juvenile general paresis
A5049          ,Other late congenital neurosyphilis
A5051          ,Clutton's joints
A5052          ,Hutchinson's teeth
A5053          ,Hutchinson's triad
A5054          ,Late congenital cardiovascular syphilis
A5055          ,Late congenital syphilitic arthropathy
A5056          ,Late congenital syphilitic osteochondropathy
A5057          ,Syphilitic saddle nose
A5059          ,"Other late congenital syphilis, symptomatic"
A506           ,"Late congenital syphilis, latent"
A507           ,"Late congenital syphilis, unspecified"
A509           ,"Congenital syphilis, unspecified"
A510           ,Primary genital syphilis
A511           ,Primary anal syphilis
A512           ,Primary syphilis of other sites
A5131          ,Condyloma latum
A5132          ,Syphilitic alopecia
A5139          ,Other secondary syphilis of skin
A5141          ,Secondary syphilitic meningitis
A5142          ,Secondary syphilitic female pelvic disease
A5143          ,Secondary syphilitic oculopathy
A5144          ,Secondary syphilitic nephritis
A5145          ,Secondary syphilitic hepatitis
A5146          ,Secondary syphilitic osteopathy
A5149          ,Other secondary syphilitic conditions
A515           ,"Early syphilis, latent"
A519           ,"Early syphilis, unspecified"
A5200          ,"Cardiovascular syphilis, unspecified"
A5201          ,Syphilitic aneurysm of aorta
A5202          ,Syphilitic aortitis
A5203          ,Syphilitic endocarditis
A5204          ,Syphilitic cerebral arteritis
A5205          ,Other cerebrovascular syphilis
A5206          ,Other syphilitic heart involvement
A5209          ,Other cardiovascular syphilis
A5210          ,"Symptomatic neurosyphilis, unspecified"
A5211          ,Tabes dorsalis
A5212          ,Other cerebrospinal syphilis
A5213          ,Late syphilitic meningitis
A5214          ,Late syphilitic encephalitis
A5215          ,Late syphilitic neuropathy
A5216          ,Charcot's arthropathy (tabetic)
A5217          ,General paresis
A5219          ,Other symptomatic neurosyphilis
A522           ,Asymptomatic neurosyphilis
A523           ,"Neurosyphilis, unspecified"
A5271          ,Late syphilitic oculopathy
A5272          ,Syphilis of lung and bronchus
A5273          ,Symptomatic late syphilis of other respiratory organs
A5274          ,Syphilis of liver and other viscera
A5275          ,Syphilis of kidney and ureter
A5276          ,Other genitourinary symptomatic late syphilis
A5277          ,Syphilis of bone and joint
A5278          ,Syphilis of other musculoskeletal tissue
A5279          ,Other symptomatic late syphilis
A528           ,"Late syphilis, latent"
A529           ,"Late syphilis, unspecified"
A530           ,"Latent syphilis, unspecified as early or late"
A539           ,"Syphilis, unspecified"
A5400          ,"Gonococcal infection of lower genitourinary tract, unspecified"
A5401          ,"Gonococcal cystitis and urethritis, unspecified"
A5402          ,"Gonococcal vulvovaginitis, unspecified"
A5403          ,"Gonococcal cervicitis, unspecified"
A5409          ,Other gonococcal infection of lower genitourinary tract
A541           ,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A5421          ,Gonococcal infection of kidney and ureter
A5422          ,Gonococcal prostatitis
A5423          ,Gonococcal infection of other male genital organs
A5424          ,Gonococcal female pelvic inflammatory disease
A5429          ,Other gonococcal genitourinary infections
A5430          ,"Gonococcal infection of eye, unspecified"
A5431          ,Gonococcal conjunctivitis
A5432          ,Gonococcal iridocyclitis
A5433          ,Gonococcal keratitis
A5439          ,Other gonococcal eye infection
A5440          ,"Gonococcal infection of musculoskeletal system, unspecified"
A5441          ,Gonococcal spondylopathy
A5442          ,Gonococcal arthritis
A5443          ,Gonococcal osteomyelitis
A5449          ,Gonococcal infection of other musculoskeletal tissue
A545           ,Gonococcal pharyngitis
A546           ,Gonococcal infection of anus and rectum
A5481          ,Gonococcal meningitis
A5482          ,Gonococcal brain abscess
A5483          ,Gonococcal heart infection
A5484          ,Gonococcal pneumonia
A5485          ,Gonococcal peritonitis
A5486          ,Gonococcal sepsis
A5489          ,Other gonococcal infections
A549           ,"Gonococcal infection, unspecified"
A55            ,Chlamydial lymphogranuloma (venereum)
A5600          ,"Chlamydial infection of lower genitourinary tract, unspecified"
A5601          ,Chlamydial cystitis and urethritis
A5602          ,Chlamydial vulvovaginitis
A5609          ,Other chlamydial infection of lower genitourinary tract
A5611          ,Chlamydial female pelvic inflammatory disease
A5619          ,Other chlamydial genitourinary infection
A562           ,"Chlamydial infection of genitourinary tract, unspecified"
A563           ,Chlamydial infection of anus and rectum
A564           ,Chlamydial infection of pharynx
A568           ,Sexually transmitted chlamydial infection of other sites
A57            ,Chancroid
A58            ,Granuloma inguinale
A5900          ,"Urogenital trichomoniasis, unspecified"
A5901          ,Trichomonal vulvovaginitis
A5902          ,Trichomonal prostatitis
A5903          ,Trichomonal cystitis and urethritis
A5909          ,Other urogenital trichomoniasis
A598           ,Trichomoniasis of other sites
A599           ,"Trichomoniasis, unspecified"
A6000          ,"Herpesviral infection of urogenital system, unspecified"
A6001          ,Herpesviral infection of penis
A6002          ,Herpesviral infection of other male genital organs
A6003          ,Herpesviral cervicitis
A6004          ,Herpesviral vulvovaginitis
A6009          ,Herpesviral infection of other urogenital tract
A601           ,Herpesviral infection of perianal skin and rectum
A609           ,"Anogenital herpesviral infection, unspecified"
A630           ,Anogenital (venereal) warts
A638           ,Other specified predominantly sexually transmitted diseases
A64            ,Unspecified sexually transmitted disease
A65            ,Nonvenereal syphilis
A660           ,Initial lesions of yaws
A661           ,Multiple papillomata and wet crab yaws
A662           ,Other early skin lesions of yaws
A663           ,Hyperkeratosis of yaws
A664           ,Gummata and ulcers of yaws
A665           ,Gangosa
A666           ,Bone and joint lesions of yaws
A667           ,Other manifestations of yaws
A668           ,Latent yaws
A669           ,"Yaws, unspecified"
A670           ,Primary lesions of pinta
A671           ,Intermediate lesions of pinta
A672           ,Late lesions of pinta
A673           ,Mixed lesions of pinta
A679           ,"Pinta, unspecified"
A680           ,Louse-borne relapsing fever
A681           ,Tick-borne relapsing fever
A689           ,"Relapsing fever, unspecified"
A690           ,Necrotizing ulcerative stomatitis
A691           ,Other Vincent's infections
A6920          ,"Lyme disease, unspecified"
A6921          ,Meningitis due to Lyme disease
A6922          ,Other neurologic disorders in Lyme disease
A6923          ,Arthritis due to Lyme disease
A6929          ,Other conditions associated with Lyme disease
A698           ,Other specified spirochetal infections
A699           ,"Spirochetal infection, unspecified"
A70            ,Chlamydia psittaci infections
A710           ,Initial stage of trachoma
A711           ,Active stage of trachoma
A719           ,"Trachoma, unspecified"
A740           ,Chlamydial conjunctivitis
A7481          ,Chlamydial peritonitis
A7489          ,Other chlamydial diseases
A749           ,"Chlamydial infection, unspecified"
A750           ,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A751           ,Recrudescent typhus [Brill's disease]
A752           ,Typhus fever due to Rickettsia typhi
A753           ,Typhus fever due to Rickettsia tsutsugamushi
A759           ,"Typhus fever, unspecified"
A770           ,Spotted fever due to Rickettsia rickettsii
A771           ,Spotted fever due to Rickettsia conorii
A772           ,Spotted fever due to Rickettsia siberica
A773           ,Spotted fever due to Rickettsia australis
A7740          ,"Ehrlichiosis, unspecified"
A7741          ,Ehrlichiosis chafeensis [E. chafeensis]
A7749          ,Other ehrlichiosis
A778           ,Other spotted fevers
A779           ,"Spotted fever, unspecified"
A78            ,Q fever
A790           ,Trench fever
A791           ,Rickettsialpox due to Rickettsia akari
A7981          ,Rickettsiosis due to Ehrlichia sennetsu
A7989          ,Other specified rickettsioses
A799           ,"Rickettsiosis, unspecified"
A800           ,"Acute paralytic poliomyelitis, vaccine-associated"
A801           ,"Acute paralytic poliomyelitis, wild virus, imported"
A802           ,"Acute paralytic poliomyelitis, wild virus, indigenous"
A8030          ,"Acute paralytic poliomyelitis, unspecified"
A8039          ,Other acute paralytic poliomyelitis
A804           ,Acute nonparalytic poliomyelitis
A809           ,"Acute poliomyelitis, unspecified"
A8100          ,"Creutzfeldt-Jakob disease, unspecified"
A8101          ,Variant Creutzfeldt-Jakob disease
A8109          ,Other Creutzfeldt-Jakob disease
A811           ,Subacute sclerosing panencephalitis
A812           ,Progressive multifocal leukoencephalopathy
A8181          ,Kuru
A8182          ,Gerstmann-Straussler-Scheinker syndrome
A8183          ,Fatal familial insomnia
A8189          ,Other atypical virus infections of central nervous system
A819           ,"Atypical virus infection of central nervous system, unspecified"
A820           ,Sylvatic rabies
A821           ,Urban rabies
A829           ,"Rabies, unspecified"
A830           ,Japanese encephalitis
A831           ,Western equine encephalitis
A832           ,Eastern equine encephalitis
A833           ,St Louis encephalitis
A834           ,Australian encephalitis
A835           ,California encephalitis
A836           ,Rocio virus disease
A838           ,Other mosquito-borne viral encephalitis
A839           ,"Mosquito-borne viral encephalitis, unspecified"
A840           ,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A841           ,Central European tick-borne encephalitis
A848           ,Other tick-borne viral encephalitis
A849           ,"Tick-borne viral encephalitis, unspecified"
A850           ,Enteroviral encephalitis
A851           ,Adenoviral encephalitis
A852           ,"Arthropod-borne viral encephalitis, unspecified"
A858           ,Other specified viral encephalitis
A86            ,Unspecified viral encephalitis
A870           ,Enteroviral meningitis
A871           ,Adenoviral meningitis
A872           ,Lymphocytic choriomeningitis
A878           ,Other viral meningitis
A879           ,"Viral meningitis, unspecified"
A880           ,Enteroviral exanthematous fever [Boston exanthem]
A881           ,Epidemic vertigo
A888           ,Other specified viral infections of central nervous system
A89            ,Unspecified viral infection of central nervous system
A90            ,Dengue fever [classical dengue]
A91            ,Dengue hemorrhagic fever
A920           ,Chikungunya virus disease
A921           ,O'nyong-nyong fever
A922           ,Venezuelan equine fever
A9230          ,"West Nile virus infection, unspecified"
A9231          ,West Nile virus infection with encephalitis
A9232          ,West Nile virus infection with other neurologic manifestation
A9239          ,West Nile virus infection with other complications
A924           ,Rift Valley fever
A925           ,Zika virus disease
A928           ,Other specified mosquito-borne viral fevers
A929           ,"Mosquito-borne viral fever, unspecified"
A930           ,Oropouche virus disease
A931           ,Sandfly fever
A932           ,Colorado tick fever
A938           ,Other specified arthropod-borne viral fevers
A94            ,Unspecified arthropod-borne viral fever
A950           ,Sylvatic yellow fever
A951           ,Urban yellow fever
A959           ,"Yellow fever, unspecified"
A960           ,Junin hemorrhagic fever
A961           ,Machupo hemorrhagic fever
A962           ,Lassa fever
A968           ,Other arenaviral hemorrhagic fevers
A969           ,"Arenaviral hemorrhagic fever, unspecified"
A980           ,Crimean-Congo hemorrhagic fever
A981           ,Omsk hemorrhagic fever
A982           ,Kyasanur Forest disease
A983           ,Marburg virus disease
A984           ,Ebola virus disease
A985           ,Hemorrhagic fever with renal syndrome
A988           ,Other specified viral hemorrhagic fevers
A99            ,Unspecified viral hemorrhagic fever
B000           ,Eczema herpeticum
B001           ,Herpesviral vesicular dermatitis
B002           ,Herpesviral gingivostomatitis and pharyngotonsillitis
B003           ,Herpesviral meningitis
B004           ,Herpesviral encephalitis
B0050          ,"Herpesviral ocular disease, unspecified"
B0051          ,Herpesviral iridocyclitis
B0052          ,Herpesviral keratitis
B0053          ,Herpesviral conjunctivitis
B0059          ,Other herpesviral disease of eye
B007           ,Disseminated herpesviral disease
B0081          ,Herpesviral hepatitis
B0082          ,Herpes simplex myelitis
B0089          ,Other herpesviral infection
B009           ,"Herpesviral infection, unspecified"
B010           ,Varicella meningitis
B0111          ,Varicella encephalitis and encephalomyelitis
B0112          ,Varicella myelitis
B012           ,Varicella pneumonia
B0181          ,Varicella keratitis
B0189          ,Other varicella complications
B019           ,Varicella without complication
B020           ,Zoster encephalitis
B021           ,Zoster meningitis
B0221          ,Postherpetic geniculate ganglionitis
B0222          ,Postherpetic trigeminal neuralgia
B0223          ,Postherpetic polyneuropathy
B0224          ,Postherpetic myelitis
B0229          ,Other postherpetic nervous system involvement
B0230          ,"Zoster ocular disease, unspecified"
B0231          ,Zoster conjunctivitis
B0232          ,Zoster iridocyclitis
B0233          ,Zoster keratitis
B0234          ,Zoster scleritis
B0239          ,Other herpes zoster eye disease
B027           ,Disseminated zoster
B028           ,Zoster with other complications
B029           ,Zoster without complications
B03            ,Smallpox
B04            ,Monkeypox
B050           ,Measles complicated by encephalitis
B051           ,Measles complicated by meningitis
B052           ,Measles complicated by pneumonia
B053           ,Measles complicated by otitis media
B054           ,Measles with intestinal complications
B0581          ,Measles keratitis and keratoconjunctivitis
B0589          ,Other measles complications
B059           ,Measles without complication
B0600          ,"Rubella with neurological complication, unspecified"
B0601          ,Rubella encephalitis
B0602          ,Rubella meningitis
B0609          ,Other neurological complications of rubella
B0681          ,Rubella pneumonia
B0682          ,Rubella arthritis
B0689          ,Other rubella complications
B069           ,Rubella without complication
B070           ,Plantar wart
B078           ,Other viral warts
B079           ,"Viral wart, unspecified"
B08010         ,Cowpox
B08011         ,Vaccinia not from vaccine
B0802          ,Orf virus disease
B0803          ,Pseudocowpox [milker's node]
B0804          ,"Paravaccinia, unspecified"
B0809          ,Other orthopoxvirus infections
B081           ,Molluscum contagiosum
B0820          ,"Exanthema subitum [sixth disease], unspecified"
B0821          ,Exanthema subitum [sixth disease] due to human herpesvirus 6
B0822          ,Exanthema subitum [sixth disease] due to human herpesvirus 7
B083           ,Erythema infectiosum [fifth disease]
B084           ,Enteroviral vesicular stomatitis with exanthem
B085           ,Enteroviral vesicular pharyngitis
B0860          ,"Parapoxvirus infection, unspecified"
B0861          ,Bovine stomatitis
B0862          ,Sealpox
B0869          ,Other parapoxvirus infections
B0870          ,"Yatapoxvirus infection, unspecified"
B0871          ,Tanapox virus disease
B0872          ,Yaba pox virus disease
B0879          ,Other yatapoxvirus infections
B088           ,Other specified viral infections characterized by skin and mucous membrane lesions
B09            ,Unspecified viral infection characterized by skin and mucous membrane lesions
B1001          ,Human herpesvirus 6 encephalitis
B1009          ,Other human herpesvirus encephalitis
B1081          ,Human herpesvirus 6 infection
B1082          ,Human herpesvirus 7 infection
B1089          ,Other human herpesvirus infection
B150           ,Hepatitis A with hepatic coma
B159           ,Hepatitis A without hepatic coma
B160           ,Acute hepatitis B with delta-agent with hepatic coma
B161           ,Acute hepatitis B with delta-agent without hepatic coma
B162           ,Acute hepatitis B without delta-agent with hepatic coma
B169           ,Acute hepatitis B without delta-agent and without hepatic coma
B170           ,Acute delta-(super) infection of hepatitis B carrier
B1710          ,Acute hepatitis C without hepatic coma
B1711          ,Acute hepatitis C with hepatic coma
B172           ,Acute hepatitis E
B178           ,Other specified acute viral hepatitis
B179           ,"Acute viral hepatitis, unspecified"
B180           ,Chronic viral hepatitis B with delta-agent
B181           ,Chronic viral hepatitis B without delta-agent
B182           ,Chronic viral hepatitis C
B188           ,Other chronic viral hepatitis
B189           ,"Chronic viral hepatitis, unspecified"
B190           ,Unspecified viral hepatitis with hepatic coma
B1910          ,Unspecified viral hepatitis B without hepatic coma
B1911          ,Unspecified viral hepatitis B with hepatic coma
B1920          ,Unspecified viral hepatitis C without hepatic coma
B1921          ,Unspecified viral hepatitis C with hepatic coma
B199           ,Unspecified viral hepatitis without hepatic coma
B20            ,Human immunodeficiency virus [HIV] disease
B250           ,Cytomegaloviral pneumonitis
B251           ,Cytomegaloviral hepatitis
B252           ,Cytomegaloviral pancreatitis
B258           ,Other cytomegaloviral diseases
B259           ,"Cytomegaloviral disease, unspecified"
B260           ,Mumps orchitis
B261           ,Mumps meningitis
B262           ,Mumps encephalitis
B263           ,Mumps pancreatitis
B2681          ,Mumps hepatitis
B2682          ,Mumps myocarditis
B2683          ,Mumps nephritis
B2684          ,Mumps polyneuropathy
B2685          ,Mumps arthritis
B2689          ,Other mumps complications
B269           ,Mumps without complication
B2700          ,Gammaherpesviral mononucleosis without complication
B2701          ,Gammaherpesviral mononucleosis with polyneuropathy
